"key","page_or_section","english","es-419","pt-BR","review_flag","human_review_status"
"result.confirmingPurchase","result / confirmingPurchase","Confirming your one-time purchase securely.","Confirmando tu compra única de forma segura.","Confirmando sua compra única com segurança.","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.preparingPhotos","result / preparingPhotos","Preparing photos","Preparando las fotos","Preparando as fotos","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.analyzing","result / analyzing","Analyzing your check-in...","Analizando tu check-in...","Analisando seu check-in...","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.buildingReport","result / buildingReport","Building your report","Creando tu informe","Criando seu relatório","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.couldNotOpen","result / couldNotOpen","This analysis could not be opened.","No se pudo abrir este análisis.","Não foi possível abrir esta análise.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.couldNotComplete","result / couldNotComplete","The analysis could not be completed.","No se pudo completar el análisis.","Não foi possível concluir a análise.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.requiredPhoto","result / requiredPhoto","{view} photo is required.","La foto de {view} es obligatoria.","A foto de {view} é obrigatória.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.addRequiredPhotos","result / addRequiredPhotos","Add a front, side, and back photo before starting your analysis.","Agrega una foto de frente, perfil y espalda antes de iniciar el análisis.","Adicione uma foto de frente, perfil e costas antes de iniciar a análise.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.choosePhotoCount","result / choosePhotoCount","Choose {min}-{max} photos.","Elige entre {min} y {max} fotos.","Escolha entre {min} e {max} fotos.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.confirmAiProcessing","result / confirmAiProcessing","Confirm AI photo processing before starting your analysis.","Confirma el procesamiento de las fotos con IA antes de iniciar el análisis.","Confirme o processamento das fotos por IA antes de iniciar a análise.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.resultExpired","result / resultExpired","Result expired","Resultado vencido","Resultado expirado","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.expiredTitle","result / expiredTitle","This analysis is no longer available.","Este análisis ya no está disponible.","Esta análise não está mais disponível.","SEO_REVIEW","PENDING"
"result.expiredBody","result / expiredBody","Quick Analysis results are available for 72 hours. Start a new analysis if you would like another current snapshot.","Los resultados de Quick Analysis están disponibles durante 72 horas. Inicia un análisis nuevo si deseas otra evaluación actual.","Os resultados do Quick Analysis ficam disponíveis por 72 horas. Inicie uma nova análise se quiser outra avaliação atual.","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.startNew","result / startNew","Start a new analysis","Iniciar un análisis nuevo","Iniciar uma nova análise","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.processingTitle","result / processingTitle","Your analysis is processing.","Tu análisis se está procesando.","Sua análise está sendo processada.","SEO_REVIEW","PENDING"
"result.processingBody","result / processingBody","Keep this page open. The report will appear here when it is ready.","Mantén esta página abierta. El informe aparecerá aquí cuando esté listo.","Mantenha esta página aberta. O relatório aparecerá aqui quando estiver pronto.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.accessUnavailable","result / accessUnavailable","Access unavailable","Acceso no disponible","Acesso indisponível","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.accessTitle","result / accessTitle","We couldn't open this analysis.","No pudimos abrir este análisis.","Não foi possível abrir esta análise.","SEO_REVIEW","PENDING"
"result.accessBody","result / accessBody","Return from your completed Stripe checkout, or contact support if payment was completed.","Regresa desde el pago completado en Stripe o comunícate con soporte si el pago se realizó.","Retorne após concluir o pagamento no Stripe ou entre em contato com o suporte se o pagamento foi realizado.","COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"result.backToAnalysis","result / backToAnalysis","Back to Quick Analysis","Volver a Quick Analysis","Voltar ao Quick Analysis","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.paymentConfirmed","result / paymentConfirmed","Payment confirmed - StageLab Quick Analysis","Pago confirmado - StageLab Quick Analysis","Pagamento confirmado - StageLab Quick Analysis","PHYSIQUE_TERMINOLOGY_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"result.uploadCheckIn","result / uploadCheckIn","Upload your check-in","Sube tu check-in","Envie seu check-in","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploadPhysique","result / uploadPhysique","Upload your physique photos","Sube las fotos de tu físico","Envie as fotos do seu físico","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.prepUploadBody","result / prepUploadBody","For the most useful analysis, upload a clear front, side, and back view from the same session.","Para obtener el análisis más útil, sube una vista clara de frente, perfil y espalda tomadas en la misma sesión.","Para uma análise mais útil, envie uma vista nítida de frente, perfil e costas feitas na mesma sessão.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.physiqueUploadBody","result / physiqueUploadBody","Upload a clear front, side, and back view. Natural photos are enough for a useful physique assessment.","Sube una vista clara de frente, perfil y espalda. Las fotos naturales son suficientes para una evaluación útil del físico.","Envie uma vista nítida de frente, perfil e costas. Fotos naturais são suficientes para uma avaliação útil do físico.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.photosOnlyTitle","result / photosOnlyTitle","Your photos are used only for this analysis.","Tus fotos se usan únicamente para este análisis.","Suas fotos são usadas somente para esta análise.","SEO_REVIEW","PENDING"
"result.photosOnlyBody","result / photosOnlyBody","They are prepared in your browser, sent securely to the AI service for transient processing, and discarded after the request completes. ElevareFit never stores them or creates a photo history.","Se preparan en tu navegador, se envían de forma segura al servicio de IA para un procesamiento transitorio y se descartan cuando finaliza la solicitud. ElevareFit nunca las almacena ni crea un historial de fotos.","Elas são preparadas no seu navegador, enviadas com segurança ao serviço de IA para processamento temporário e descartadas após a conclusão da solicitação. A ElevareFit nunca as armazena nem cria um histórico de fotos.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.browserAccessTitle","result / browserAccessTitle","This browser keeps your result access.","Este navegador conserva el acceso a tu resultado.","Este navegador mantém o acesso ao seu resultado.","SEO_REVIEW","PENDING"
"result.browserAccessBody","result / browserAccessBody","Your report remains available here for 72 hours. Use this same browser and device, and do not clear its cookies until you are finished viewing the result.","Tu informe permanece disponible aquí durante 72 horas. Usa este mismo navegador y dispositivo, y no borres sus cookies hasta terminar de consultar el resultado.","Seu relatório fica disponível aqui por 72 horas. Use o mesmo navegador e dispositivo e não limpe os cookies até terminar de consultar o resultado.","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.uploadConsentBefore","result / uploadConsentBefore","I understand that these photos will be used only for this one-time analysis, sent to an AI service for processing, and never stored by ElevareFit. They are discarded after processing. See the ","Entiendo que estas fotos se usarán únicamente para este análisis, se enviarán a un servicio de IA para su procesamiento y ElevareFit nunca las almacenará. Se descartan después del procesamiento. Consulta la ","Entendo que estas fotos serão usadas somente para esta análise única, enviadas a um serviço de IA para processamento e nunca armazenadas pela ElevareFit. Elas são descartadas após o processamento. Consulte a ","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.privacyPolicy","result / privacyPolicy","Privacy Policy","Política de Privacidad","Política de Privacidade","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.uploadConsentAfter","result / uploadConsentAfter","."," (en inglés)."," (em inglês).","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.analyzePhotos","result / analyzePhotos","Analyze my photos","Analizar mis fotos","Analisar minhas fotos","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.keepOpen","result / keepOpen","Keep this page open while the report is prepared.","Mantén esta página abierta mientras se prepara el informe.","Mantenha esta página aberta enquanto o relatório é preparado.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.retryBody","result / retryBody","If a technical issue prevents delivery, your paid entitlement remains valid for another upload attempt. You will not be charged again.","Si un problema técnico impide la entrega, tu derecho al análisis pagado seguirá siendo válido para otro intento de carga. No se te volverá a cobrar.","Se um problema técnico impedir a entrega, seu direito à análise paga continuará válido para outra tentativa de envio. Você não será cobrado novamente.","LEGAL_OR_CONSENT_REVIEW|COMMERCE_OR_PROVIDER_REVIEW","PENDING"
"result.attemptsUsed","result / attemptsUsed","Attempts used","Intentos usados","Tentativas usadas","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.of","result / of","of","de","de","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.reportLanguageNotice","result / reportLanguageNotice","This report was generated in {language} and is shown in its original language.","Este informe se generó en {language} y se muestra en su idioma original.","Este relatório foi gerado em {language} e é exibido no idioma original.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.languageLabels.en","result / languageLabels","English","inglés","inglês","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.languageLabels.es-419","result / languageLabels","Latin American Spanish","español latinoamericano","espanhol latino-americano","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.languageLabels.pt-BR","result / languageLabels","Brazilian Portuguese","portugués de Brasil","português do Brasil","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.front.label","result / uploader","Front","Frente","Frente","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.front.help","result / uploader","Face the camera with your full physique visible.","Mira a la cámara con todo el físico visible.","Fique de frente para a câmera com o físico inteiro visível.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.slots.side.label","result / uploader","Side","Perfil","Perfil","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.side.help","result / uploader","Turn to either side and keep your full physique visible.","Gira hacia cualquiera de los lados y mantén todo el físico visible.","Vire para qualquer lado e mantenha o físico inteiro visível.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.slots.back.label","result / uploader","Back","Espalda","Costas","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.back.help","result / uploader","Face away from the camera with your full physique visible.","Da la espalda a la cámara con todo el físico visible.","Fique de costas para a câmera com o físico inteiro visível.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.slots.additional_1.label","result / uploader","Additional View","Vista adicional","Vista adicional","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.additional_1.help","result / uploader","Optional: another pose, the opposite side, or a useful closer view.","Opcional: otra pose, el perfil opuesto o una vista más cercana que sea útil.","Opcional: outra pose, o perfil oposto ou uma vista mais próxima que seja útil.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.additional_2.label","result / uploader","Additional View","Vista adicional","Vista adicional","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.slots.additional_2.help","result / uploader","Optional: another pose, the opposite side, or a useful closer view.","Opcional: otra pose, el perfil opuesto o una vista más cercana que sea útil.","Opcional: outra pose, o perfil oposto ou uma vista mais próxima que seja útil.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.required","result / uploader","Required","Obligatoria","Obrigatória","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.optional","result / uploader","Optional","Opcional","Opcional","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.ready","result / uploader","Ready","Lista","Pronta","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.previewAlt","result / uploader","{label} photo preview","Vista previa de la foto: {label}","Prévia da foto: {label}","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.replace","result / uploader","Replace","Reemplazar","Substituir","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.remove","result / uploader","Remove","Eliminar","Remover","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.choose","result / uploader","Choose photo","Elegir foto","Escolher foto","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.prepLabel","result / uploader","Competition Prep","Preparación competitiva","Preparação para competição","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.prepGuidance","result / uploader","Use your normal check-in or division poses when possible. Division-appropriate poses can improve the presentation and division-specific assessment.","Usa tus poses habituales de check-in o de la división cuando sea posible. Las poses apropiadas para la división pueden mejorar la evaluación de presentación y alineación específica.","Use suas poses habituais de check-in ou da divisão quando possível. Poses adequadas à divisão podem melhorar a avaliação da apresentação e do alinhamento específico.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.physiqueLabel","result / uploader","Physique Check","Evaluación de físico","Avaliação de físico","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.physiqueGuidance","result / uploader","No posing experience needed. Stand naturally and keep your full physique visible.","No necesitas experiencia posando. Colócate de forma natural y mantén todo el físico visible.","Não é necessário ter experiência com poses. Fique em uma posição natural e mantenha o físico inteiro visível.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.bestRead","result / uploader","For the best read","Para obtener la mejor lectura","Para obter a melhor leitura","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.guideAria","result / uploader","Submit front, side, and back views","Envía vistas de frente, perfil y espalda","Envie vistas de frente, perfil e costas","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.guideAlt.front","result / uploader","Front physique photo positioning example","Ejemplo de posición para una foto de frente","Exemplo de posicionamento para foto de frente","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.guideAlt.side","result / uploader","Side physique photo positioning example","Ejemplo de posición para una foto de perfil","Exemplo de posicionamento para foto de perfil","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.guideAlt.back","result / uploader","Back physique photo positioning example","Ejemplo de posición para una foto de espalda","Exemplo de posicionamento para foto de costas","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.checklist[0]","result / uploader","Full physique visible","Todo el físico visible","Físico inteiro visível","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.checklist[1]","result / uploader","Clear, even lighting","Iluminación clara y uniforme","Iluminação clara e uniforme","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.checklist[2]","result / uploader","Fitted athletic clothing","Ropa deportiva ajustada","Roupa esportiva ajustada","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.checklist[3]","result / uploader","Camera straight-on","Cámara de frente y nivelada","Câmera reta e nivelada","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.guideBody","result / uploader","Keep the camera roughly straight-on and, if possible, use photos from the same session. Mirror photos are fine when the phone or frame does not block large areas of your physique.","Mantén la cámara aproximadamente de frente y, si es posible, usa fotos de la misma sesión. Las fotos en el espejo sirven si el teléfono o el encuadre no cubren zonas grandes del físico.","Mantenha a câmera aproximadamente reta e, se possível, use fotos da mesma sessão. Fotos no espelho funcionam quando o celular ou o enquadramento não bloqueiam grandes áreas do físico.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.avoidLabel","result / uploader","Avoid","Evita","Evite","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.uploader.avoidBody","result / uploader","heavy shadows, baggy clothing, extreme camera angles, or blocking your physique with the phone.","sombras intensas, ropa holgada, ángulos extremos o cubrir el físico con el teléfono.","sombras fortes, roupas largas, ângulos extremos ou cobrir o físico com o celular.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.uploader.privacy","result / uploader","Your photos are processed for this analysis and are not retained by ElevareFit.","Tus fotos se procesan para este análisis y ElevareFit no las conserva.","Suas fotos são processadas para esta análise e não são retidas pela ElevareFit.","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.report.noAdditionalItems","result / report","No additional items were identified.","No se identificaron elementos adicionales.","Nenhum item adicional foi identificado.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.analysisContext","result / report","Analysis context","Contexto del análisis","Contexto da análise","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.limitationsTitle","result / report","What can affect this read","Qué puede afectar esta lectura","O que pode afetar esta leitura","SEO_REVIEW","PENDING"
"result.report.cautions","result / report","Cautions","Precauciones","Cuidados","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.competitionDisclaimer","result / report","StageLab Quick Analysis provides visual fitness and physique information only. Body-fat ranges are estimates, not medical measurements. This report is not official judging and does not guarantee stage readiness, placement, or competition outcomes. It is not medical advice or a diagnosis.","StageLab Quick Analysis proporciona únicamente información visual sobre fitness y físico. Los rangos de grasa corporal son estimaciones, no mediciones médicas. Este informe no es una evaluación oficial de jueces ni garantiza preparación para tarima, posiciones o resultados competitivos. No es asesoría médica ni un diagnóstico.","O StageLab Quick Analysis fornece somente informações visuais sobre fitness e físico. As faixas de gordura corporal são estimativas, não medições médicas. Este relatório não é uma avaliação oficial de arbitragem e não garante preparação para o palco, colocação ou resultados de competição. Não é orientação médica nem diagnóstico.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.physiqueDisclaimer","result / report","StageLab Quick Analysis provides visual fitness and physique information only. Body-fat ranges are estimates, not medical measurements. Stage Readiness is not an official judging score and does not predict contest placement or outcomes. It is not medical advice or a diagnosis.","StageLab Quick Analysis proporciona únicamente información visual sobre fitness y físico. Los rangos de grasa corporal son estimaciones, no mediciones médicas. Stage Readiness no es una puntuación oficial de jueces ni predice posiciones o resultados competitivos. No es asesoría médica ni un diagnóstico.","O StageLab Quick Analysis fornece somente informações visuais sobre fitness e físico. As faixas de gordura corporal são estimativas, não medições médicas. Stage Readiness não é uma pontuação oficial de arbitragem e não prevê colocação ou resultados de competição. Não é orientação médica nem diagnóstico.","LEGAL_OR_CONSENT_REVIEW|PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.reportRetention","result / report","Your submitted photos were used only to generate this analysis and were not stored by ElevareFit. This structured report remains available for up to 72 hours.","Tus fotos se usaron únicamente para generar este análisis y ElevareFit no las almacenó. Este informe estructurado permanece disponible hasta 72 horas.","Suas fotos foram usadas somente para gerar esta análise e não foram armazenadas pela ElevareFit. Este relatório estruturado fica disponível por até 72 horas.","LEGAL_OR_CONSENT_REVIEW","PENDING"
"result.report.trackQuestion","result / report","Curious what happens if you track it over time?","¿Quieres saber qué ocurre si lo sigues a lo largo del tiempo?","Quer descobrir o que acontece ao acompanhar isso ao longo do tempo?","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.followTitle","result / report","Follow your physique in StageLab.","Sigue la evolución de tu físico en StageLab.","Acompanhe seu físico no StageLab.","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"result.report.continueTitle","result / report","Continue the process in StageLab.","Continúa el proceso en StageLab.","Continue o processo no StageLab.","PHYSIQUE_TERMINOLOGY_REVIEW|SEO_REVIEW","PENDING"
"result.report.physiqueCtaBody","result / report","StageLab lets physique athletes and competitors track check-ins, conditioning, and prep trends week to week.","StageLab permite a atletas de físico y competidores registrar check-ins, acondicionamiento y tendencias de preparación semana a semana.","O StageLab permite que atletas de físico e competidores acompanhem check-ins, condicionamento e tendências da preparação semana a semana.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.prepCtaBody","result / report","StageLab adds ongoing check-ins, saved history, trends, and structured prep tracking for athletes and coaches.","StageLab incorpora check-ins continuos, historial guardado, tendencias y seguimiento estructurado de preparación para atletas y coaches.","O StageLab oferece check-ins contínuos, histórico salvo, tendências e acompanhamento estruturado da preparação para atletas e coaches.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.learnMore","result / report","Learn more about StageLab","Conoce más sobre StageLab","Saiba mais sobre o StageLab","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.quickAnalysis","result / report","StageLab Quick Analysis","StageLab Quick Analysis","StageLab Quick Analysis","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.overallRead","result / report","Overall read","Evaluación general","Avaliação geral","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.bodyFatRange","result / report","Estimated visual body-fat range","Rango visual estimado de grasa corporal","Faixa visual estimada de gordura corporal","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.confidence","result / report","confidence","de confianza","de confiança","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.conditioning","result / report","Conditioning","Acondicionamiento","Condicionamento","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.visibleConditioning","result / report","Visible conditioning","Acondicionamiento visible","Condicionamento visível","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.muscularity","result / report","Muscularity","Muscularidad","Muscularidade","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.structure","result / report","Structure","Estructura","Estrutura","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.symmetry","result / report","Symmetry & proportions","Simetría y proporciones","Simetria e proporções","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.presentation","result / report","Presentation","Presentación","Apresentação","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.presentationTitle","result / report","Presentation in submitted photos","Presentación en las fotos enviadas","Apresentação nas fotos enviadas","SEO_REVIEW","PENDING"
"result.report.divisionPerspective","result / report","Division perspective","Perspectiva de la división","Perspectiva da divisão","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.visualAlignmentScore","result / report","visual alignment score","puntuación de alineación visual","pontuação de alinhamento visual","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.visibleStrengths","result / report","Visible strengths","Fortalezas visibles","Pontos fortes visíveis","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.whatStandsOut","result / report","What stands out","Aspectos destacados","O que se destaca","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.areasToImprove","result / report","Areas to improve","Áreas por mejorar","Áreas para melhorar","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.whereToFocus","result / report","Where to focus","En qué enfocarte","Onde concentrar o foco","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.judgesPerspective","result / report","Judge's Perspective","Perspectiva de jueces","Perspectiva da arbitragem","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.currentDivisionRead","result / report","Current division read","Evaluación actual de la división","Avaliação atual da divisão","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.physiqueCheck","result / report","StageLab Physique Check","StageLab Evaluación de físico","StageLab Avaliação de físico","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.stageReadiness","result / report","Stage Readiness","Stage Readiness","Stage Readiness","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.readinessDefinition","result / report","Stage Readiness is a composite visual profile based on conditioning, muscularity, symmetry and proportions, and presentation in the submitted photos. Conditioning also limits the highest possible readiness band when visible stage conditioning is not yet present. It is not a timeline, official judging score, or placement prediction.","Stage Readiness es un perfil visual compuesto basado en acondicionamiento, muscularidad, simetría y proporciones, y presentación en las fotos enviadas. El acondicionamiento también limita la categoría máxima cuando todavía no se observa un acondicionamiento de tarima. No es un cronograma, una puntuación oficial de jueces ni una predicción de posición.","Stage Readiness é um perfil visual composto baseado em condicionamento, muscularidade, simetria e proporções, e apresentação nas fotos enviadas. O condicionamento também limita a faixa máxima quando o condicionamento de palco ainda não está visível. Não é um cronograma, uma pontuação oficial de arbitragem ou uma previsão de colocação.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.scoreOutOf","result / report","{score} out of 100","{score} de 100","{score} de 100","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.visualDistance","result / report","Visual distance from stage condition","Distancia visual del acondicionamiento de tarima","Distância visual do condicionamento de palco","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.visualSnapshot","result / report","A visual snapshot, not a weeks-out estimate.","Una evaluación visual actual, no una estimación de semanas para competir.","Uma avaliação visual atual, não uma estimativa de semanas para a competição.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.weightingNote","result / report","Stage Readiness weighting: conditioning 40%, muscularity 25%, symmetry and proportions 20%, presentation in submitted photos 15%. A conditioning safeguard prevents the final readiness band from overstating visual proximity to stage condition.","Ponderación de Stage Readiness: acondicionamiento 40 %, muscularidad 25 %, simetría y proporciones 20 %, presentación en las fotos enviadas 15 %. Una protección basada en el acondicionamiento evita que la categoría final exagere la cercanía visual al acondicionamiento de tarima.","Ponderação do Stage Readiness: condicionamento 40%, muscularidade 25%, simetria e proporções 20%, apresentação nas fotos enviadas 15%. Uma proteção baseada no condicionamento impede que a faixa final exagere a proximidade visual do condicionamento de palco.","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.noStrengths","result / report","No additional strengths could be assessed confidently from the submitted photos.","No se pudieron evaluar con confianza otras fortalezas a partir de las fotos enviadas.","Não foi possível avaliar com confiança outros pontos fortes nas fotos enviadas.","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.stageOriented","result / report","What already looks stage-oriented","Qué aspectos ya se acercan a una presentación de tarima","O que já parece voltado para o palco","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.visibleDifferences","result / report","Visible differences","Diferencias visibles","Diferenças visíveis","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.separatesFromStage","result / report","What still separates you from stage condition","Qué separa todavía tu físico del acondicionamiento de tarima","O que ainda separa seu físico do condicionamento de palco","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.visualDivisionAlignment","result / report","visual division alignment","alineación visual con la división","alinhamento visual com a divisão","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.confidenceLabels.low","result / report","low","baja","baixa","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.confidenceLabels.moderate","result / report","moderate","moderada","moderada","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.confidenceLabels.high","result / report","high","alta","alta","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.readinessLabels.Far from stage condition","result / report","Far from stage condition","Lejos del acondicionamiento de tarima","Longe do condicionamento de palco","PHYSIQUE_TERMINOLOGY_REVIEW","PENDING"
"result.report.readinessLabels.Developing","result / report","Developing","En desarrollo","Em desenvolvimento","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.readinessLabels.Moderately close","result / report","Moderately close","Moderadamente cerca","Moderadamente próximo","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.readinessLabels.Close","result / report","Close","Cerca","Próximo","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.readinessLabels.Very close visually","result / report","Very close visually","Visualmente muy cerca","Visualmente muito próximo","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.distanceLabels.significant","result / report","Significant","Significativa","Significativa","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.distanceLabels.moderate","result / report","Moderate","Moderada","Moderada","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.distanceLabels.close","result / report","Close","Cerca","Próxima","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.distanceLabels.very_close","result / report","Very close","Muy cerca","Muito próxima","STANDARD_LANGUAGE_REVIEW","PENDING"
"result.report.distanceLabels.unavailable","result / report","Not available","No disponible","Não disponível","STANDARD_LANGUAGE_REVIEW","PENDING"
